PPFD,F1,F2,F3,F4,F5,F6,F7,F8,FY,FZ,FXL,FVIS
2.149,0,0,2,0,0,0,0,0,0,1,0,1
3.584,0,0,5,0,0,0,0,0,0,4,0,2
4.047,0,1,5,0,0,0,0,0,0,5,0,2
4.528,0,1,6,0,0,0,0,0,0,6,0,3
5.238,0,1,7,0,0,0,0,0,0,7,0,3
6.26,0,1,8,0,0,0,0,0,0,9,0,4
7.549,0,2,10,0,0,0,0,0,1,12,0,5
8.871,0,3,12,0,0,0,0,0,1,14,0,6
10.31,0,3,14,0,0,0,0,0,1,17,0,7
11.84,0,4,16,0,0,0,0,0,1,20,0,8
13.48,0,5,19,0,0,0,0,0,1,23,0,9
15.06,0,5,21,0,0,0,0,0,2,26,0,10
16.58,0,6,23,0,0,0,0,0,2,28,0,12
18.11,0,7,24,0,0,0,0,0,2,31,0,13
19.76,0,8,27,1,0,0,0,0,2,34,0,14
21.23,0,8,28,1,0,0,0,0,2,37,0,15
22.73,0,8,28,1,0,0,0,0,2,37,0,15
24.16,0,10,32,1,0,0,0,0,3,42,0,17
25.61,0,11,34,1,0,0,0,0,3,45,0,18
27.26,0,12,36,1,0,0,0,0,3,48,0,19
28.66,0,12,37,1,0,0,0,0,3,50,0,20
29.94,0,13,39,1,0,0,0,0,3,53,0,21
31.33,0,14,41,1,0,0,0,0,3,55,0,22
32.84,0,15,43,1,0,0,0,0,4,58,0,23
34.26,0,15,44,1,0,0,0,0,4,60,0,24
35.65,0,16,46,1,0,0,0,0,4,63,0,25
36.82,0,17,47,1,0,0,0,0,4,65,0,26
38.46,0,18,49,1,0,0,0,0,4,68,0,27
39.65,0,18,51,1,0,0,0,0,4,70,0,28
41.04,0,19,52,1,0,0,0,0,4,72,0,29
42.24,0,20,54,2,0,0,0,0,5,74,0,30
43.47,0,21,55,2,0,0,0,0,5,77,0,31
44.81,0,21,57,2,0,0,0,0,5,79,0,32
46.24,0,22,58,2,0,0,0,0,5,81,0,33
47.37,0,23,60,2,0,0,0,0,5,84,0,33
48.49,0,24,61,2,0,0,0,0,5,86,0,34
49.78,0,25,63,2,0,0,0,0,5,88,0,35
51,0,25,64,2,0,0,0,0,6,90,0,36
52.18,0,25,64,2,0,0,0,0,6,90,0,36
53.35,0,26,66,2,0,0,0,0,6,92,0,37
54.49,1,27,67,2,0,0,0,0,6,94,0,38
