F1,F2,F3,F4,F5,F6,F7,F8,FY,FZ,FXL,FVIS,PPFD
9,78,144,22,13,63,61,7,42,215,8,133,172.78386
9,78,144,22,13,64,60,7,42,214,7,133,171.9911
9,77,144,21,13,64,60,7,42,212,7,132,182.49493
9,77,144,22,13,64,60,7,42,212,7,132,171.0314
92,134,208,184,135,413,401,98,278,223,100,414,302.5
91,133,206,182,134,402,403,97,276,222,99,411,299.7
93,136,211,185,137,397,412,99,280,228,101,417,300.5
92,135,211,185,137,395,412,99,280,227,101,416,300.5
92,135,211,184,137,394,412,99,279,227,100,415,299.3
92,135,210,184,136,393,412,99,279,227,100,415,299
42,99,179,102,68,196,160,45,162,223,44,259,232.2
42,99,179,101,68,196,160,44,161,224,44,259,233
42,99,179,101,68,195,161,44,161,224,44,259,232.7
42,99,179,101,68,195,161,44,161,224,44,259,233.2
58,169,273,156,103,186,116,60,248,397,57,351,285
58,167,273,157,103,186,116,60,248,392,57,349,284.3
58,165,273,156,103,185,115,60,248,388,57,348,283.5
58,163,274,156,103,185,115,60,248,385,57,347,284.1
57,162,273,156,101,185,115,60,247,381,56,346,282.3
47,107,201,141,91,171,103,51,226,255,48,286,230.4
47,108,200,140,91,171,103,51,225,256,48,285,230.8
47,107,199,139,90,171,102,51,223,254,48,284,230.7
47,107,198,139,90,170,102,50,223,254,48,283,230.9
47,107,198,139,90,170,102,50,222,254,48,283,230.6
48,92,174,147,95,182,108,53,234,205,50,279,222.9
48,92,173,146,94,181,108,53,233,205,50,278,222.9
48,91,173,146,94,180,107,53,232,204,50,277,222.9
48,91,173,145,93,180,107,52,231,204,50,277,222.8
48,91,172,145,93,180,106,52,231,203,50,277,222.7
78,116,181,156,117,334,351,84,235,195,85,367,227.4
62,91,153,187,123,232,140,69,293,157,65,315,227.1
61,90,153,185,122,231,139,68,291,156,65,313,227.1
61,90,153,185,122,230,139,68,290,156,65,312,226.8
61,90,153,184,121,229,139,68,289,155,64,311,226.7
12,90,153,28,16,71,70,10,51,263,10,155,143.3
12,89,153,28,16,71,70,10,50,261,10,153,142.5
12,88,153,28,16,70,69,10,50,259,10,152,142.1
12,88,153,28,16,70,69,10,50,258,10,151,142.2
12,87,153,28,16,69,68,10,50,256,10,150,141.9
53,125,216,125,85,230,198,56,194,290,55,312,228.2
53,125,215,125,85,229,198,56,194,290,55,312,228.2
53,125,215,125,85,230,198,56,194,290,55,313,228.2
53,124,213,125,85,228,200,56,194,289,55,314,228.1
81,119,185,160,120,360,355,87,240,197,88,378,276.1
80,118,184,159,120,353,356,86,239,197,87,376,276.1
80,118,184,159,120,348,356,86,239,197,87,375,275.5
79,117,183,158,118,341,355,85,237,196,86,371,275
