PPFD,F1,F2,F3,F4,F5,F6,F7,F8,FY,FZ,FXL,FVIS
493.7,149,287,434,283,212,536,524,156,420,558,155,677
491.3,149,285,434,281,211,532,523,155,419,552,155,674
490.4,148,284,434,281,210,531,523,155,418,551,154,673
489.2,148,283,434,280,210,529,523,154,417,550,154,672
488.9,134,266,403,251,189,494,496,139,375,524,139,614
488.8,147,282,433,280,209,527,522,154,416,548,153,670
486.9,146,280,432,278,208,525,520,152,414,547,152,667
488.2,147,281,434,279,209,527,522,153,416,548,153,670
488.5,147,281,433,279,208,526,522,153,416,547,153,669
487.8,146,280,433,279,208,526,521,153,415,547,152,668
486.9,146,280,432,278,208,525,521,152,415,547,152,668
486.8,146,280,432,277,208,525,521,151,414,546,152,667
486.8,145,279,432,277,207,524,520,151,414,546,151,666
486.6,145,279,432,277,207,524,520,151,414,546,151,666
487.3,145,279,432,278,207,524,520,152,414,546,151,667
487.4,145,279,432,278,207,524,520,151,414,546,151,667
432.1,132,262,401,249,187,489,494,136,372,521,137,609
487.3,145,278,431,277,207,523,519,151,413,545,151,666
487.1,145,278,431,277,207,523,520,151,413,545,151,666
488.4,145,278,431,277,206,522,519,151,413,545,151,665
