PPFD,F1,F2,F3,F4,F5,F6,F7,F8,FY,FZ,FXL,FVIS
493.7,149,287,434,283,212,536,524,156,420,558,155,677
491.3,149,285,434,281,211,532,523,155,419,552,155,674
490.4,148,284,434,281,210,531,523,155,418,551,154,673
489.2,148,283,434,280,210,529,523,154,417,550,154,672
488.9,134,266,403,251,189,494,496,139,375,524,139,614
488.8,147,282,433,280,209,527,522,154,416,548,153,670
486.9,146,280,432,278,208,525,520,152,414,547,152,667
488.2,147,281,434,279,209,527,522,153,416,548,153,670
488.5,147,281,433,279,208,526,522,153,416,547,153,669
487.8,146,280,433,279,208,526,521,153,415,547,152,668
486.9,146,280,432,278,208,525,521,152,415,547,152,668
486.8,146,280,432,277,208,525,521,151,414,546,152,667
486.8,145,279,432,277,207,524,520,151,414,546,151,666
486.6,145,279,432,277,207,524,520,151,414,546,151,666
487.3,145,279,432,278,207,524,520,152,414,546,151,667
487.4,145,279,432,278,207,524,520,151,414,546,151,667
432.1,132,262,401,249,187,489,494,136,372,521,137,609
487.3,145,278,431,277,207,523,519,151,413,545,151,666
487.1,145,278,431,277,207,523,520,151,413,545,151,666
488.4,145,278,431,277,206,522,519,151,413,545,151,665
244.1,62,93,158,199,126,249,142,68,311,165,65,331
187.9,41,48,51,42,42,293,329,43,58,39,48,202
244.3,40,46,49,40,41,278,330,42,55,37,46,196
244.1,39,45,48,39,40,270,330,41,54,37,45,193
244.6,38,45,47,39,39,266,330,41,53,36,45,192
244.5,38,44,47,38,39,263,330,40,53,36,45,191
188.3,38,44,46,38,39,261,331,40,53,36,44,190
244.8,38,44,46,38,39,260,331,40,52,36,44,189
244.6,38,44,46,38,39,259,331,40,52,35,44,189
245,37,44,46,38,39,258,331,40,52,35,44,189
245,37,44,46,38,38,258,331,40,52,35,44,188
245.2,37,44,46,38,38,257,331,40,52,35,44,188
245.1,37,44,46,38,38,257,331,40,52,35,44,188
188.4,37,44,46,38,38,257,331,40,52,35,44,188
245.3,37,44,46,38,38,257,331,40,52,35,44,188
245.2,37,44,46,38,38,256,331,40,52,35,44,188
245.5,37,44,46,38,38,256,330,40,52,35,44,188
245.7,37,44,46,38,38,256,330,40,52,35,44,188
245.2,37,44,46,38,38,256,330,40,52,35,44,188
256,62,93,158,200,127,250,142,69,313,165,65,332
143.1,41,48,51,42,42,293,329,43,58,39,48,202
138.1,40,46,49,40,41,278,330,42,55,37,46,196
136,39,45,48,39,40,270,330,41,54,37,45,193
134.9,38,45,47,39,39,266,330,41,53,36,45,192
132.1,37,44,46,38,38,257,331,40,52,35,44,188
131.7,37,44,46,38,38,257,331,40,52,35,44,188
131.8,37,44,46,38,38,257,331,40,52,35,44,188
131.9,37,44,46,38,38,257,331,40,52,35,44,188
131.6,37,44,46,38,38,256,331,40,52,35,44,188
131.6,37,44,46,38,38,256,330,40,52,35,44,188
131.5,37,44,46,38,38,256,330,40,52,35,44,188
131.6,37,44,46,38,38,256,330,40,52,35,44,188
131.5,37,44,46,38,38,256,331,40,52,35,44,188
131.6,37,44,46,38,38,256,331,40,52,35,44,188
131.4,37,44,46,38,38,256,331,40,52,35,44,188
131.4,37,44,46,38,38,256,330,40,52,35,44,188
131.5,37,44,46,38,38,256,330,40,52,35,44,188
131.3,37,44,46,38,38,256,330,40,52,35,44,188
131.5,37,44,46,38,38,256,330,40,52,35,44,188
131.3,37,44,46,38,38,256,330,40,52,35,44,188
120.5,5,108,192,8,2,1,1,0,19,347,0,126
118.4,5,105,192,8,2,1,1,0,19,340,0,124
117.5,5,103,192,8,2,1,1,0,19,335,0,122
116.8,5,101,192,8,2,1,1,0,19,333,0,121
116.3,5,100,192,8,2,1,1,0,19,331,0,121
116.3,5,100,192,8,2,1,1,0,19,329,0,120
116,5,99,192,8,2,1,1,0,19,328,0,120
115.8,5,99,192,8,2,1,1,0,19,327,0,120
115.7,5,99,192,8,2,1,1,0,19,327,0,120
115.5,5,99,192,8,2,1,1,0,19,327,0,120
115.5,5,98,192,8,2,1,1,0,19,326,0,119
115.4,5,98,192,8,2,1,1,0,19,326,0,119
115.5,5,98,192,8,2,1,1,0,19,326,0,119
115.4,5,98,192,8,2,1,1,0,19,326,0,119
115.2,5,98,192,8,2,1,1,0,19,326,0,119
115.2,5,98,192,8,2,1,1,0,19,325,0,119
115.6,5,98,192,8,2,1,1,0,19,325,0,119
115.1,5,98,192,8,2,1,1,0,19,325,0,119
115.1,5,98,192,8,2,1,1,0,19,325,0,119
115.5,5,98,192,8,2,1,1,0,19,325,0,119
